"DATE ","EXPIRY DATE ","OPTION TYPE ","STRIKE PRICE ","OPEN PRICE ","HIGH PRICE ","LOW PRICE ","CLOSE PRICE ","LAST PRICE ","SETTLE PRICE ","Volume ","VALUE ","PREMIUM VALUE ","OPEN INTEREST ","CHANGE IN OPEN INTEREST "
"25-MAR-2025","26-SEP-2025","FF","-","86.25","86.25","86.25","86.25","86.25","86.73","1","86,250.0000","86,250.0000","680","1"
"24-MAR-2025","26-SEP-2025","FF","-","87.00","87.00","87.00","87.00","87.00","86.84","1","87,000.0000","87,000.0000","679","-"
"21-MAR-2025","26-SEP-2025","FF","-","87.00","87.20","87.00","87.00","87.00","87.24","150","1,30,52,000.0000","1,30,52,000.0000","679","150"
"20-MAR-2025","26-SEP-2025","FF","-","-","-","-","88.00","88.00","87.31","-","-","-","529","-"
"19-MAR-2025","26-SEP-2025","FF","-","-","-","-","88.00","88.00","87.49","-","-","-","529","-"
"18-MAR-2025","26-SEP-2025","FF","-","-","-","-","88.00","88.00","87.67","-","-","-","529","-"
"17-MAR-2025","26-SEP-2025","FF","-","-","-","-","88.00","88.00","87.78","-","-","-","529","-"
"13-MAR-2025","26-SEP-2025","FF","-","-","-","-","88.00","88.00","88.08","-","-","-","529","-"
"12-MAR-2025","26-SEP-2025","FF","-","-","-","-","88.00","88.00","88.26","-","-","-","529","-"
"11-MAR-2025","26-SEP-2025","FF","-","-","-","-","88.00","88.00","88.32","-","-","-","529","-"
"10-MAR-2025","26-SEP-2025","FF","-","-","-","-","88.00","88.00","88.22","-","-","-","529","-"
"07-MAR-2025","26-SEP-2025","FF","-","-","-","-","88.00","88.00","88.06","-","-","-","529","-"
"06-MAR-2025","26-SEP-2025","FF","-","-","-","-","88.00","88.00","88.08","-","-","-","529","-"
"05-MAR-2025","26-SEP-2025","FF","-","-","-","-","88.00","88.00","88.07","-","-","-","529","-"
"04-MAR-2025","26-SEP-2025","FF","-","-","-","-","88.00","88.00","88.35","-","-","-","529","-"
"03-MAR-2025","26-SEP-2025","FF","-","-","-","-","88.00","88.00","88.31","-","-","-","529","-"
"28-FEB-2025","26-SEP-2025","FF","-","-","-","-","88.00","88.00","88.39","-","-","-","529","-"
"27-FEB-2025","26-SEP-2025","FF","-","-","-","-","88.00","88.00","88.30","-","-","-","529","-"
"25-FEB-2025","26-SEP-2025","FF","-","-","-","-","88.00","88.00","88.13","-","-","-","529","-"
"24-FEB-2025","26-SEP-2025","FF","-","-","-","-","88.00","88.00","87.84","-","-","-","529","-"
"21-FEB-2025","26-SEP-2025","FF","-","88.00","88.00","88.00","88.00","88.00","87.79","10","8,80,000.0000","8,80,000.0000","529","-10"
"20-FEB-2025","26-SEP-2025","FF","-","-","-","-","88.70","88.70","87.79","-","-","-","539","-"
"18-FEB-2025","26-SEP-2025","FF","-","-","-","-","88.70","88.70","88.12","-","-","-","539","-"
"17-FEB-2025","26-SEP-2025","FF","-","-","-","-","88.70","88.70","88.07","-","-","-","539","-"
"14-FEB-2025","26-SEP-2025","FF","-","-","-","-","88.70","88.70","88.08","-","-","-","539","-"
"13-FEB-2025","26-SEP-2025","FF","-","-","-","-","88.70","88.70","88.11","-","-","-","539","-"
"12-FEB-2025","26-SEP-2025","FF","-","88.70","88.70","88.70","88.70","88.70","88.70","3","2,66,100.0000","2,66,100.0000","539","-"
"11-FEB-2025","26-SEP-2025","FF","-","-","-","-","88.70","88.70","88.04","-","-","-","539","-"
"10-FEB-2025","26-SEP-2025","FF","-","-","-","-","88.70","88.70","88.69","-","-","-","539","-"
"07-FEB-2025","26-SEP-2025","FF","-","-","-","-","88.70","88.70","88.72","-","-","-","539","-"
"06-FEB-2025","26-SEP-2025","FF","-","88.70","88.70","88.70","88.70","88.70","88.83","1","88,700.0000","88,700.0000","539","1"
"05-FEB-2025","26-SEP-2025","FF","-","87.41","87.41","87.41","87.41","87.41","88.63","1","87,407.5000","87,407.5000","538","1"
"04-FEB-2025","26-SEP-2025","FF","-","92.00","92.00","87.00","92.00","92.00","92.00","3","2,70,997.5000","2,70,997.5000","537","1"
"03-FEB-2025","26-SEP-2025","FF","-","86.01","86.01","86.01","86.01","86.01","88.38","2","1,72,020.0000","1,72,020.0000","536","-"
"31-JAN-2025","26-SEP-2025","FF","-","-","-","-","88.00","88.00","87.88","-","-","-","536","-"
"30-JAN-2025","26-SEP-2025","FF","-","-","-","-","88.00","88.00","87.86","-","-","-","536","-"
"29-JAN-2025","26-SEP-2025","FF","-","-","-","-","88.00","88.00","87.81","-","-","-","536","-"
"28-JAN-2025","26-SEP-2025","FF","-","-","-","-","88.00","88.00","87.98","-","-","-","536","-"
"27-JAN-2025","26-SEP-2025","FF","-","-","-","-","88.00","88.00","87.69","-","-","-","536","-"
"24-JAN-2025","26-SEP-2025","FF","-","-","-","-","88.00","88.00","87.71","-","-","-","536","-"
"23-JAN-2025","26-SEP-2025","FF","-","-","-","-","88.00","88.00","87.88","-","-","-","536","-"
"22-JAN-2025","26-SEP-2025","FF","-","-","-","-","88.00","88.00","87.81","-","-","-","536","-"
"21-JAN-2025","26-SEP-2025","FF","-","-","-","-","88.00","88.00","88.08","-","-","-","536","-"
"20-JAN-2025","26-SEP-2025","FF","-","-","-","-","88.00","88.00","88.00","-","-","-","536","-"
"17-JAN-2025","26-SEP-2025","FF","-","-","-","-","88.00","88.00","88.05","-","-","-","536","-"
"16-JAN-2025","26-SEP-2025","FF","-","-","-","-","88.00","88.00","88.08","-","-","-","536","-"
"15-JAN-2025","26-SEP-2025","FF","-","-","-","-","88.00","88.00","87.88","-","-","-","536","-"
"14-JAN-2025","26-SEP-2025","FF","-","-","-","-","88.00","88.00","88.06","-","-","-","536","-"
